;vegnr;vegkategori;Antall siffer;bbox
3585;FV7752;F;4;16.5762,68.7831,16.596,68.7909
3586;FV7754;F;4;16.2473,68.6501,16.5381,68.7371
3587;FV7756;F;4;16.2618,68.8821,16.5016,68.9694
3588;FV7758;F;4;19.5498,69.4308,19.6708,69.656
3589;FV776;F;3;11.6123,64.6379,12.3149,64.8275
3590;FV7760;F;4;19.6406,69.542,19.7138,69.6101
3591;FV7764;F;4;18.0324,69.5198,18.7835,69.6014
3592;FV7766;F;4;18.0036,69.6098,18.0808,69.6363
3593;FV7768;F;4;18.3954,69.6855,18.6546,69.7845
3594;FV777;F;3;11.3458,64.6006,11.4282,64.6378
3595;FV7770;F;4;18.5871,69.726,18.942,69.8371
3596;FV7772;F;4;18.9967,69.6827,19.0078,69.6878
3597;FV7776;F;4;18.7894,69.8056,19.0139,69.8524
3598;FV7778;F;4;18.8484,69.8142,19.0331,69.9644
3599;FV778;F;3;12.2024,65.46,12.2126,65.4749
3600;FV7780;F;4;15.9122,68.672,15.9641,68.6975
3601;FV7782;F;4;15.7523,68.5294,15.829,68.5987
3602;FV7784;F;4;16.0396,68.6558,16.0833,68.68
3603;FV7785;F;4;16.0618,68.7338,16.1983,68.787
3604;FV7788;F;4;17.1067,68.641,17.2108,68.6733
3605;FV779;F;3;13.1959,65.7848,13.2171,65.8347
3606;FV7794;F;4;16.4703,68.983,16.5348,68.9948
3607;FV7796;F;4;16.5383,68.9971,16.5664,69.0007
3608;FV78;F;2;13.0485,65.8632,13.4494,66.0864
3609;FV7800;F;4;16.6123,68.942,16.7484,68.9592
3610;FV7802;F;4;17.0377,68.7762,17.1754,68.8641
3611;FV7804;F;4;17.0992,68.7971,17.3762,68.9272
3612;FV7806;F;4;17.2548,68.6878,17.8157,68.8197
3613;FV7808;F;4;17.6682,68.6569,17.7481,68.6735
3614;FV7810;F;4;17.476,68.832,17.8199,68.8961
3615;FV7812;F;4;17.9927,68.854,18.0993,68.8757
3616;FV7814;F;4;17.802,68.8921,18.048,68.9358
3617;FV7816;F;4;18.1018,68.64,18.2446,68.7179
3618;FV7820;F;4;18.8948,68.8656,19.0783,69.006
3619;FV7822;F;4;19.4047,68.846,19.5737,69.017
3620;FV7824;F;4;19.4437,68.9637,19.756,69.0229
3621;FV7826;F;4;18.6379,69.0121,18.6724,69.041
3622;FV7828;F;4;18.3844,69.1668,18.4906,69.1907
3623;FV7830;F;4;18.5433,69.0275,18.5988,69.0641
3624;FV7832;F;4;18.4683,69.2134,18.5073,69.2726
3625;FV7834;F;4;18.5694,69.1842,19.0119,69.3224
3626;FV7836;F;4;18.1486,69.1116,18.1949,69.1438
3627;FV7838;F;4;18.0655,69.1968,18.3095,69.2237
3628;FV7840;F;4;17.4842,68.957,18.0581,69.1525
3629;FV7842;F;4;17.4364,69.0107,17.6853,69.0985
3630;FV7848;F;4;17.1663,69.0272,17.2009,69.0834
3631;FV7850;F;4;17.0061,69.0794,17.0593,69.138
3632;FV7852;F;4;17.7122,69.1672,17.7604,69.1855
3633;FV7853;F;4;17.7418,69.1634,17.8201,69.1697
3634;FV7854;F;4;17.8468,69.1707,17.9406,69.2278
3635;FV7856;F;4;17.5899,69.2112,17.6209,69.2566
3636;FV7858;F;4;17.6461,69.2646,17.8918,69.3034
3637;FV7860;F;4;17.5268,69.1585,17.6081,69.2031
3638;FV7862;F;4;16.936,69.2394,17.5452,69.3075
3639;FV7864;F;4;17.033,69.1902,17.1678,69.2885
3640;FV7866;F;4;17.2271,69.4413,17.3413,69.4697
3641;FV7868;F;4;17.4384,69.4855,17.4912,69.5207
3642;FV7870;F;4;17.4029,69.4812,17.4059,69.4841
3643;FV7872;F;4;18.1702,69.2494,18.4983,69.3955
3644;FV7874;F;4;17.9799,69.2386,18.3041,69.4738
3645;FV7876;F;4;18.2971,69.3629,18.3719,69.4778
3646;FV7878;F;4;18.0834,69.3098,18.2266,69.3403
3647;FV7880;F;4;17.9666,69.44,18.0359,69.4759
3648;FV7882;F;4;17.8994,69.5074,17.9214,69.5604
3649;FV7884;F;4;17.6294,69.4733,17.6991,69.5054
3650;FV7886;F;4;17.664,69.4847,17.8443,69.5454
3651;FV7888;F;4;19.2104,69.1886,19.2429,69.227
3652;FV7890;F;4;18.718,69.2396,19.2316,69.2703
3653;FV7892;F;4;18.442,69.3308,18.8845,69.5571
3654;FV7894;F;4;19.0925,69.3034,19.3383,69.3488
3655;FV7896;F;4;18.6084,69.3586,18.8901,69.4019
3656;FV7898;F;4;19.4219,69.2757,19.6428,69.4082
3657;FV79;F;2;6.1438,60.3637,6.7342,60.5345
3658;FV7900;F;4;19.3529,69.2683,19.8895,69.6117
3659;FV7902;F;4;18.9699,69.3746,19.2862,69.5537
3660;FV7904;F;4;19.3452,69.2124,19.536,69.2367
3661;FV7906;F;4;19.0543,69.1621,19.2279,69.2389
3662;FV7908;F;4;19.4088,69.8345,19.8899,70.0536
3663;FV7910;F;4;18.6559,69.9436,19.4687,70.0776
3664;FV7912;F;4;19.3825,69.9697,19.422,69.9927
3665;FV7914;F;4;19.537,69.967,19.6733,70.0232
3666;FV7916;F;4;19.8524,70.0476,20.1077,70.1343
3667;FV7917;F;4;19.4978,70.0532,19.8524,70.2476
3668;FV7918;F;4;19.6046,70.201,19.7303,70.2279
3669;FV7920;F;4;20.2194,69.5765,20.3476,69.6803
3670;FV7922;F;4;19.7718,69.6634,20.2265,69.9508
3671;FV7924;F;4;19.841,69.7311,19.9811,69.8133
3672;FV7926;F;4;19.9252,69.7568,19.9538,69.7876
3673;FV7928;F;4;19.9434,69.1698,20.0409,69.2642
3674;FV7930;F;4;19.9308,69.234,20.1008,69.2671
3675;FV7932;F;4;20.5274,69.4401,20.5626,69.5425
3676;FV7934;F;4;20.5208,69.5232,20.5406,69.5454
3677;FV7936;F;4;20.8255,69.4497,20.9406,69.4949
3678;FV7938;F;4;20.5912,69.7847,20.7467,69.906
3679;FV7940;F;4;20.5208,70.0325,20.8005,70.1991
3680;FV7942;F;4;20.488,70.0637,20.5483,70.115
3681;FV7944;F;4;20.7713,70.0318,20.8519,70.1435
3682;FV7946;F;4;20.9503,69.7849,20.9576,69.786
3683;FV7948;F;4;21.0148,69.7105,21.0736,69.7676
3684;FV7950;F;4;21.0367,69.8025,21.1903,69.8802
3685;FV7952;F;4;20.5192,69.7843,20.6182,69.8393
3686;FV7954;F;4;21.1881,69.9065,21.3288,69.934
3687;FV7956;F;4;21.4076,69.8615,21.4426,69.8942
3688;FV7958;F;4;21.8966,69.8143,21.9653,69.8388
3689;FV7960;F;4;21.8922,69.8669,21.9929,69.8906
